ログインID,パスワード,メールアドレス,学籍番号,管理フラグ
1,gg8GnZOZ,a0001@oic.jp,A0001,0
2,Z8NRmaWC,a0002@oic.jp,A0002,0
3,PkVT2dpv,A0003@oic.jp,A0003,0
4,WchanHa7,A0004@oic.jp,A0004,0
5,IQ63PnO3,A0005@oic.jp,A0005,0
6,O3BnhDm1,A0006@oic.jp,A0006,0
7,cM9LCSjb,A0007@oic.jp,A0007,0
8,CayX1L5Z,A0008@oic.jp,A0008,0
9,wZFKJ4WA,A0009@oic.jp,A0009,0
10,AAU29bjE,A0010@oic.jp,A0010,0
11,z6r5U1Eb,A0011@oic.jp,A0011,0
12,93R5zCNi,A0012@oic.jp,A0012,0
13,tr89iLdx,A0013@oic.jp,A0013,0
14,CrehvnP2,A0014@oic.jp,A0014,0
15,jp8v1yI6,A0015@oic.jp,A0015,0
16,oMS1GRIx,A0016@oic.jp,A0016,0
17,61rpRr59,A0017@oic.jp,A0017,0
18,Ls22XSK4,A0018@oic.jp,A0018,0
19,62fjId3g,A0019@oic.jp,A0019,0
20,ZHv2xOga,A0020@oic.jp,A0020,0
21,q7epE5iO,A0021@oic.jp,A0021,0
22,R91iz0IV,A0022@oic.jp,A0022,0
23,y2gPf8bH,A0023@oic.jp,A0023,0
24,OQ4cDBZQ,A0024@oic.jp,A0024,0
25,P4gcMhUA,A0025@oic.jp,A0025,0
26,WK0IMQd1,A0026@oic.jp,A0026,0
27,QqO2T4U6,A0027@oic.jp,A0027,0
28,Yht49vSZ,A0028@oic.jp,A0028,0
29,S3LrbU4g,A0029@oic.jp,A0029,0
30,688lijJG,B0001@oic.jp,B0001,0
31,sX8w7DRv,B0002@oic.jp,B0002,0
32,ZmcSa2FE,B0003@oic.jp,B0003,0
33,oP0q8q2u,B0004@oic.jp,B0004,0
34,DskPU9CZ,B0005@oic.jp,B0005,0
35,WR2214iv,B0006@oic.jp,B0006,0
36,yGze9OZw,B0007@oic.jp,B0007,0
37,j0Za6E2B,B0008@oic.jp,B0008,0
38,viW4SHDp,B0009@oic.jp,B0009,0
39,ACrbYr7G,B0010@oic.jp,B0010,0
40,gYPn8bhX,B0011@oic.jp,B0011,0
41,XeHVLAw1,B0012@oic.jp,B0012,0
42,j8kyw7hS,B0013@oic.jp,B0013,0
43,m0tNIWeV,B0014@oic.jp,B0014,0
44,hV7I4qht,B0015@oic.jp,B0015,0
45,y51m6uHR,B0016@oic.jp,B0016,0
46,HcPG1HID,B0017@oic.jp,B0017,0
47,P9m5Rj9C,B0018@oic.jp,B0018,0
48,J7mhI3A7,B0019@oic.jp,B0019,0
49,FD2pvieo,B0020@oic.jp,B0020,0
50,V3fuzsER,B0021@oic.jp,B0021,0
51,w7cTiRGW,B0022@oic.jp,B0022,0
52,ZtGP2unK,B0023@oic.jp,B0023,0
53,M3nLLJve,B0024@oic.jp,B0024,0
54,S0jD1lpO,B0025@oic.jp,B0025,0
55,t7d5SCqs,B0026@oic.jp,B0026,0
56,k4R2VmCb,B0027@oic.jp,B0027,0
57,BrFr1own,B0028@oic.jp,B0028,0
58,da2h9fMo,B0029@oic.jp,B0029,0
59,YButV7Bo,B0030@oic.jp,B0030,0
60,p1ZOQpqC,B0031@oic.jp,B0031,0
61,yrXL2hnm,B0032@oic.jp,B0032,0
62,QhRDe1AV,C0001@oic.jp,C0001,0
63,EZ8n53VZ,C0002@oic.jp,C0002,0
64,M2vIhbtV,C0003@oic.jp,C0003,0
65,Jy1FlzT1,C0004@oic.jp,C0004,0
66,o57vo4Jl,C0005@oic.jp,C0005,0
67,V3JquUaU,C0006@oic.jp,C0006,0
68,VzYf5Dkx,C0007@oic.jp,C0007,0
69,Ovlhon8B,C0008@oic.jp,C0008,0
70,55ND1ms9,C0009@oic.jp,C0009,0
71,77TxXq7c,C0010@oic.jp,C0010,0
72,NTKkz7lc,C0011@oic.jp,C0011,0
73,dXTJcu6p,C0012@oic.jp,C0012,0
74,ZFOkX1op,C0013@oic.jp,C0013,0
75,kE3P6HxV,C0014@oic.jp,C0014,0
76,qaCIoyk2,C0015@oic.jp,C0015,0
77,aNV1Klc2,C0016@oic.jp,C0016,0
78,aeiHPos9,C0017@oic.jp,C0017,0
79,M6K0E3zG,C0018@oic.jp,C0018,0
80,m5oo4Ffs,C0019@oic.jp,C0019,0
81,xl2yNBt0,C0020@oic.jp,C0020,0
82,PCzI8S8v,C0021@oic.jp,C0021,0
83,k5VNdlRb,C0022@oic.jp,C0022,0
84,tSJjdpq8,C0023@oic.jp,C0023,0
85,D3t7jA5V,C0024@oic.jp,C0024,0
86,Nv9huupu,C0025@oic.jp,C0025,0
87,c8eHmhGF,C0026@oic.jp,C0026,0
88,kIHxQ8TS,D0001@oic.jp,D0001,0
89,w0iT8Tyc,D0002@oic.jp,D0002,0
90,sx61QczF,D0003@oic.jp,D0003,0
91,ARMVy1QQ,D0004@oic.jp,D0004,0
92,Pb40HN0C,D0005@oic.jp,D0005,0
93,l0ncP0Qt,D0006@oic.jp,D0006,0
94,PP2UnVHY,D0007@oic.jp,D0007,0
95,vIWfn0dI,D0008@oic.jp,D0008,0
96,tUb9OmeV,D0009@oic.jp,D0009,0
97,USZ27E9h,D0010@oic.jp,D0010,0
98,hFqHh9NM,D0011@oic.jp,D0011,0
99,fwDZ5yyu,D0012@oic.jp,D0012,0
100,morioka,morioka@oic.jp,morioka,1
